id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0615,21651-19-4,,,N.D.,: TWA 2 mg/m<sup>3</sup>: none,134.7,Decomposes,MLT(600 mmHg): 1976°F (Decomposes),Insoluble,0 mmHg (approx),NA,6.3,NA,NA,NA,,,,"inhalation, skin and/or eye contact","Stannosis (benign pneumoconiosis): dyspnea (breathing difficulty), decreased pulmonary function",respiratory system,() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Fresh air
0616,18282-10-5,,,N.D.,: TWA 2 mg/m<sup>3</sup>: none,150.7,Decomposes,2966°F (Decomposes),Insoluble,0 mmHg (approx),NA,6.95,NA,NA,NA,,,,"inhalation, skin and/or eye contact","Stannosis (benign pneumoconiosis): dyspnea (breathing difficulty), decreased pulmonary function",respiratory system,() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Fresh air
0617,13463-67-7,,,Ca [5000 mg/m<sup>3</sup>],: Ca : TWA 15 mg/m<sup>3</sup>,79.9,4532-5432°F,3326-3362°F,Insoluble,0 mmHg (approx),NA,4.26,NA,NA,NA,,,Noncombustible Solid,inhalation,Lung fibrosis; [potential occupational carcinogen],respiratory system,() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Breathing:</strong> Respiratory support
0618,119-93-7,,,Ca [N.D.],: Ca C 0.02 mg/m<sup>3</sup> [60-minute] [skin],212.3,572°F,264°F,0.1%,?,?,?,?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, nose; in animals: liver, kidney damage; [potential occupational carcinogen]","Eyes, respiratory system, liver, kidneys","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0619,108-88-3,,1 ppm = 3.77 mg/m<sup>3</sup>,500 ppm,: TWA 100 ppm (375 mg/m<sup>3</sup>) ST 150 ppm (560 mg/m<sup>3</sup>)                  : TWA 200 ppm C 300 ppm 500 ppm (10-minute maximum peak),92.1,232°F,-139°F,Sol(74°F): 0.07%,21 mmHg,8.82 eV,0.87,40°F,7.1%,1.1%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, nose; lassitude (weakness, exhaustion), confusion, euphoria, dizziness, headache; dilated pupils, lacrimation (discharge of tears); anxiety, muscle fatigue, insomnia; paresthesia; dermatitis; liver, kidney damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0620,25376-45-8,,,Ca [N.D.],: Ca (all isomers) : none,122.2,558°F,210°F,Soluble,VP(224°F): 1 mmHg,?,1.05 (Liquid at 212°F),300°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat; dermatitis; ataxia, tachycardia, nausea, vomiting, convulsions, resp depression; methemoglobinemia, cyanosis, headache, lassitude (weakness, exhaustion), dizziness, bluish skin; liver injury; [potential occupational carcinogen]","Eyes, skin, respiratory system, blood, cardiovascular system, liver","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0621,584-84-9,,1 ppm = 7.13 mg/m<sup>3</sup>,Ca [2.5 ppm],: Ca : C 0.02 ppm (0.14 mg/m<sup>3</sup>),174.2,484°F,71°F,Insoluble,VP(77°F): 0.01 mmHg,?,1.22,260°F,9.5%,0.9%,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat; choke, paroxysmal cough; chest pain, retrosternal (occurring behind the sternum) soreness; nausea, vomiting, abdominal pain; bronchitis, bronchospasm, pulmonary edema; dyspnea (breathing difficulty), asthma; conjunctivitis, lacrimation (discharge of tears); dermatitis, skin sensitization; [potential occupational carcinogen]","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0622,95-53-4,,1 ppm = 4.38 mg/m<sup>3</sup>,Ca [50 ppm],: Ca [skin] : TWA 5 ppm (22 mg/m<sup>3</sup>) [skin],107.2,392°F,6°F,2%,0.3 mmHg,7.44 eV,1.01,185°F,?,?,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes; anoxia, headache, cyanosis; lassitude (weakness, exhaustion), dizziness, drowsiness; micro hematuria (blood in the urine); eye burns; dermatitis; [potential occupational carcinogen]","Eyes, skin, blood, kidneys, liver, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0623,108-44-1,,,N.D.,: : none,107.2,397°F,-23°F,2%,VP(106°F): 1 mmHg,7.50 eV,0.999,187°F,?,?,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; dermatitis; hematuria (blood in the urine), methemoglobinemia; cyanosis, nausea, vomiting, low blood pressure, convulsions; anemia, lassitude (weakness, exhaustion)","Eyes, skin, blood, cardiovascular system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0624,106-49-0,,,Ca [N.D.],: Ca : none,107.2,393°F,111°F,0.7%,VP(108°F): 1 mmHg,7.50 eV,1.05,188°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; dermatitis; hematuria (blood in the urine), methemoglobinemia; cyanosis, nausea, vomiting, low blood pressure, convulsions; anemia, lassitude (weakness, exhaustion); [potential occupational carcinogen]","Eyes, skin, blood, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0625,126-73-8,,1 ppm = 10.89 mg/m<sup>3</sup>,30 ppm,: TWA 0.2 ppm (2.5 mg/m<sup>3</sup>)                  : TWA 5 mg/m<sup>3</sup>,266.3,552°F (Decomposes),-112°F,0.6%,VP(77°F): 0.004 mmHg,?,0.98,Fl.P(oc): 295°F,?,?,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system, headache; nausea","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0626,76-03-9,,1 ppm = 6.68 mg/m<sup>3</sup>,N.D.,: TWA 1 ppm (7 mg/m<sup>3</sup>)                  : none,163.4,388°F,136°F,Miscible,VP(124°F): 1 mmHg,?,1.62,NA,NA,NA,,,Noncombustible Solid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat, respiratory system; cough, dyspnea (breathing difficulty), delayed pulmonary edema; eye, skin burns; dermatitis; salivation, vomiting, diarrhea","Eyes, skin, respiratory system, gastrointestinal tract","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0627,120-82-1,,1 ppm = 7.42 mg/m<sup>3</sup>,N.D.,: C 5 ppm (40 mg/m<sup>3</sup>)                  : none,181.4,416°F,63°F,0.003%,1 mmHg,?,1.45,222°F,UEL(302°F): 6.6%,LEL(302°F): 2.5%,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; in animals: liver, kidney damage; possible teratogenic effects","Eyes, skin, respiratory system, liver, reproductive system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0628,79-00-5,,1 ppm = 5.46 mg/m<sup>3</sup>,Ca [100 ppm],: Ca TWA 10 ppm (45 mg/m<sup>3</sup>) [skin]  (Chloroethanes)                  : TWA 10 ppm (45 mg/m<sup>3</sup>) [skin],133.4,237°F,-34°F,0.4%,19 mmHg,11.00 eV,1.44,?,15.5%,6%,,,"Combustible Liquid, forms dense soot.","inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, nose; central nervous system depression; liver, kidney damage; dermatitis; [potential occupational carcinogen]","Eyes, respiratory system, central nervous system, liver, kidneys","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0629,79-01-6,,1 ppm = 5.37 mg/m<sup>3</sup>,Ca [1000 ppm],: Ca : TWA 100 ppm C 200 ppm 300 ppm (5-minute maximum peak in any 2 hours),131.4,189°F,-99°F,0.1%,58 mmHg,9.45 eV,1.46,?,UEL(77°F): 10.5%,LEL(77°F): 8%,,,"Combustible Liquid, but burns with difficulty.","inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; headache, visual disturbance, lassitude (weakness, exhaustion), dizziness, tremor, drowsiness, nausea, vomiting; dermatitis; cardiac arrhythmias, paresthesia; liver injury; [potential occupational carcinogen]","Eyes, skin, respiratory system, heart, liver, kidneys, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0630,1321-65-9,,,See Appendix F,: TWA 5 mg/m<sup>3</sup> [skin]                  : TWA 5 mg/m<sup>3</sup> [skin],231.5,579-669°F,199°F,Insoluble,&lt;1 mmHg,?,1.58,Fl.P(oc): 392°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","anorexia, nausea; dizziness; jaundice, liver injury",Liver,() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0631,96-18-4,,1 ppm = 6.03 mg/m<sup>3</sup>,Ca [100 ppm],: Ca TWA 10 ppm (60 mg/m<sup>3</sup>) [skin] : TWA 50 ppm (300 mg/m<sup>3</sup>),147.4,314°F,6°F,0.1%,3 mmHg,?,1.39,160°F,UEL(302°F): 12.6%,LEL(248°F): 3.2%,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, nose, throat; central nervous system depression; in animals: liver, kidney injury; [potential occupational carcinogen]","Eyes, skin, respiratory system, central nervous system, liver, kidneys","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0632,76-13-1,,1 ppm = 7.67 mg/m<sup>3</sup>,2000 ppm,: TWA 1000 ppm (7600 mg/m<sup>3</sup>) ST 1250 ppm (9500 mg/m<sup>3</sup>)                  : TWA 1000 ppm (7600 mg/m<sup>3</sup>),187.4,118°F,-31°F,Sol(77°F): 0.02%,285 mmHg,11.99 eV,Sp.Gr(77°F): 1.56,?,?,?,,,"Noncombustible Liquid at ordinary temperatures, but the gas will ignite and burn weakly at 1256°F.","inhalation, ingestion, skin and/or eye contact","irritation skin, throat, drowsiness, dermatitis; central nervous system depression; in animals: cardiac arrhythmias, narcosis","Skin, heart, central nervous system, cardiovascular system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0633,121-44-8,,1 ppm = 4.14 mg/m<sup>3</sup>,200 ppm,: : TWA 25 ppm (100 mg/m<sup>3</sup>),101.2,193°F,-175°F,2%,54 mmHg,7.50 eV,0.73,20°F,8.0%,1.2%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; in animals: myocardial, kidney, liver damage","Eyes, skin, respiratory system, cardiovascular system, liver, kidneys","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (&gt;1%), Quick drench (&gt;1%)",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0634,75-63-8,,1 ppm = 6.09 mg/m<sup>3</sup>,"40,000 ppm",: TWA 1000 ppm (6100 mg/m<sup>3</sup>)                  : TWA 1000 ppm (6100 mg/m<sup>3</sup>),148.9,-72°F,-267°F,0.03%,&gt;1 atm,11.78 eV,,NA,NA,NA,5.14,,Nonflammable Gas,"inhalation, skin and/or eye contact (liquid)",dizziness; cardiac arrhythmias; liquid: frostbite,"central nervous system, heart",() <strong>Skin:</strong> Frostbite                  <strong>Eyes:</strong> Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Frostbite wash,()<strong>Eye:</strong> Frostbite                  <strong>Skin:</strong> Frostbite                  <strong>Breathing:</strong> Respiratory support
0635,552-30-7,,1 ppm = 7.86 mg/m<sup>3</sup>,N.D.,: TWA 0.005 ppm (0.04 mg/m<sup>3</sup>) Should be handled in the workplace as an extremely toxic substance.                  : none,192.1,?,322°F,?,0.000004 mmHg,?,?,NA,NA,NA,,,Combustible Solid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, respiratory system; pulmonary edema, resp sensitization; rhinitis, asthma, cough, wheezing, dyspnea (breathing difficulty), malaise (vague feeling of discomfort), fever, muscle aches, sneezing","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0636,75-50-3,,1 ppm = 2.42 mg/m<sup>3</sup>,N.D.,: TWA 10 ppm (24 mg/m<sup>3</sup>) ST 15 ppm (36 mg/m<sup>3</sup>)                  : none,59.1,37°F,-179°F,Sol(86°F): 48%,VP(70°F): 1454 mmHg,7.82 eV,,NA (Gas) 20°F (Liquid),11.6%,2.0%,2.09,,Flammable Gas,"inhalation, ingestion (solution), skin and/or eye contact","irritation eyes, skin, nose, throat, respiratory system; cough, dyspnea (breathing difficulty), delayed pulmonary edema; blurred vision, corneal necrosis; skin burns; liquid: frostbite","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact (liquid/solution)/Frostbite                  <strong>Eyes:</strong> Prevent eye contact (liquid/solution)/Frostbite                  <strong>Wash skin:</strong> When contaminated (solution)                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (liquid/solution), Quick drench (liquid/solution), Frostbite wash",()<strong>Eye:</strong> Irrigate immediately (liquid/solution)/Frostbite                  <strong>Skin:</strong> Water flush immediately (liquid/solution)/Frostbite                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately (solution)
0637,526-73-8,,1 ppm = 4.92 mg/m<sup>3</sup>,N.D.,: TWA 25 ppm (125 mg/m<sup>3</sup>)                  : none,120.2,349°F,-14°F,Low,VP(62°F): 1 mmHg,8.48 eV,0.89,?,6.6%,0.8%,,,Flammable Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat, respiratory system; bronchitis; hypochromic anemia; headache, drowsiness, lassitude (weakness, exhaustion), dizziness, nausea, incoordination; vomiting, confusion; chemical pneumonitis (aspiration liquid)","Eyes, skin, respiratory system, central nervous system, blood",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0638,95-63-6,,1 ppm = 4.92 mg/m<sup>3</sup>,N.D.,: TWA 25 ppm (125 mg/m<sup>3</sup>)                  : none,120.2,337°F,-77°F,0.006%,VP(56°F): 1 mmHg,8.27 eV,0.88,112°F,6.4%,0.9%,,,Class II Flammable Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat, respiratory system; bronchitis; hypochromic anemia; headache, drowsiness, lassitude (weakness, exhaustion), dizziness, nausea, incoordination; vomiting, confusion; chemical pneumonitis (aspiration liquid)","Eyes, skin, respiratory system, central nervous system, blood",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0639,108-67-8,,1 ppm = 4.92 mg/m<sup>3</sup>,N.D.,: TWA 25 ppm (125 mg/m<sup>3</sup>)                  : none,120.2,329°F,-49°F,0.002%,2 mmHg,8.39 eV,0.86,122°F,?,?,,,Class II Flammable Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat, respiratory system; bronchitis; hypochromic anemia; headache, drowsiness, lassitude (weakness, exhaustion), dizziness, nausea, incoordination; vomiting, confusion; chemical pneumonitis (aspiration liquid)","Eyes, skin, respiratory system, central nervous system, blood",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0640,121-45-9,,1 ppm = 5.08 mg/m<sup>3</sup>,N.D.,: TWA 2 ppm (10 mg/m<sup>3</sup>)                  : none,124.1,232°F,-108°F,Reacts,VP(77°F): 24 mmHg,?,1.05,82°F,?,?,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, upper respiratory system; dermatitis; in animals: teratogenic effects","Eyes, skin, respiratory system, reproductive system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0641,118-96-7,,,500 mg/m<sup>3</sup>,: TWA 0.5 mg/m<sup>3</sup> [skin]                  : TWA 1.5 mg/m<sup>3</sup> [skin],227.1,464°F (Explodes),176°F,Sol(77°F): 0.01%,0.0002 mmHg,10.59 eV,1.65,? (Explodes),?,?,,,Combustible Solid (Class A Explosive),"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation skin, mucous membrane; liver damage, jaundice; cyanosis; sneezing; cough, sore throat; peripheral neuropathy, muscle pain; kidney damage; cataract; sensitization dermatitis; leukocytosis (increased blood leukocytes); anemia; cardiac irreg","Eyes, skin, respiratory system, blood, liver, cardiovascular system, central nervous system, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0642,78-30-8,,,40 mg/m<sup>3</sup>,: TWA 0.1 mg/m<sup>3</sup> [skin]                  : TWA 0.1 mg/m<sup>3</sup>,368.4,770°F (Decomposes),52°F,Slight,VP(77°F): 0.00002 mmHg,?,1.20,437°F,?,?,,,Class IIIB Combustible Liquid: Fl.P. at or above 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","gastrointestinal disturbance; peripheral neuropathy; cramps in calves, paresthesia in feet or hands; weak feet, wrist drop, paralysis","peripheral nervous system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0643,603-34-9,,,N.D.,: TWA 5 mg/m<sup>3</sup>: none,245.3,689°F,261°F,Insoluble,?,7.60 eV,0.77,?,?,?,,,,"inhalation, ingestion, skin and/or eye contact",In animals: irritation skin,Skin,() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0644,115-86-6,,,1000 mg/m<sup>3</sup>,: TWA 3 mg/m<sup>3</sup>: TWA 3 mg/m<sup>3</sup>,326.3,776°F,120°F,Sol(129°F): 0.002%,VP(380°F): 1 mmHg,?,1.29,428°F,?,?,,,Combustible Solid,"inhalation, ingestion","Minor changes in blood enzymes; in animals: muscle weak, paralysis","Blood, peripheral nervous system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
